usertw,datetw,followers
sergio_fajardo,2022-06-01 08:00:33.620531,1671826
realamberheard,2022-06-01 08:00:33.620531,248213
marcollinasvolp,2022-06-01 08:00:33.620531,313
JohnMiltonR_,2022-06-01 08:00:33.620531,43112
AlvaroUribeVel,2022-06-02 08:00:35.961735,5048555
petrogustavo,2022-06-02 08:00:35.961735,5007498
FicoGutierrez,2022-06-02 08:00:35.961735,914321
FranciaMarquezM,2022-06-02 08:00:35.961735,482891
Enrique_GomezM,2022-06-02 08:00:35.961735,40586
EnriquePenalosa,2022-06-02 08:00:35.961735,1994802
ingrodolfohdez,2022-06-02 08:00:35.961735,319436
ZelenskyyUa,2022-06-02 08:00:35.961735,6308981
German_Vargas,2022-06-02 08:00:35.961735,882422
